#Epoch  Link[0]   Link[1]   Link[2]   Link[3]   HMC bandwidth
1       0.369549  0.369549  0.369549  0.363588  1.46627   
2       0.309944  0.303984  0.303984  0.309944  1.23382   
3       0.429153  0.435114  0.435114  0.435114  1.72853   
4       1.14441   1.14441   1.14441   1.14441   4.57764   
5       1.15037   1.14441   1.14441   1.14441   4.5836    
6       1.14441   1.15037   1.15037   1.14441   4.58956   
7       1.14441   1.15633   1.16229   1.15037   4.6134    
8       1.26958   1.25766   1.25766   1.28746   5.07236   
9       2.22921   2.22921   2.24113   2.21133   8.91685   
10      2.28882   2.28882   2.29478   2.29478   9.16719   
11      2.29478   2.29478   2.29478   2.29478   9.17315   
12      2.29478   2.29478   2.28882   2.28882   9.16719   
13      2.28882   2.28882   2.29478   2.29478   9.16719   
14      2.29478   2.29478   2.28882   2.28882   9.17315   
15      2.28882   2.29478   2.29478   2.29478   9.17315   
16      2.29478   2.28882   2.29478   2.29478   9.16719   
17      2.29478   2.29478   2.28882   2.28882   9.16719   
18      2.28882   2.28882   2.29478   2.29478   9.17315   
19      2.29478   2.29478   2.28882   2.28882   9.17315   
20      2.29478   2.29478   2.29478   2.29478   9.16719   
21      2.28882   2.28882   2.29478   2.29478   9.16719   
22      2.29478   2.29478   2.28882   2.28882   9.17315   
23      2.28882   2.28882   2.29478   2.29478   9.16719   
24      2.29478   2.29478   2.29478   2.29478   9.17315   
25      2.29478   2.29478   2.28882   2.28882   9.16719   
26      2.28882   2.28882   2.29478   2.29478   9.16719   
27      2.29478   2.29478   2.28882   2.28882   9.17315   
28      2.28882   2.29478   2.29478   2.29478   9.17315   
29      2.29478   2.28882   2.29478   2.29478   9.16719   
